ID_Antibiotico,ID_Periodo,ID_Microrganismo,ID_Sitio,N_amostra,N_sensivel,P_sensibilidade,ID_Antibiotico_1,NomeAntibiotico,ID_Microrganismo_1,NomeMicrorganismo,ID_Periodo_1,NomePeriodo,DescricaoPeriodo,ID_Sitio_1,NomeSitio
1,1,3,3,1,0.0,0,1,Amicacina,3,Burkholderia cepacia,1,201901,1° sem. de 2019,3,Hemocultura
1,1,3,4,1,0.0,0,1,Amicacina,3,Burkholderia cepacia,1,201901,1° sem. de 2019,4,Sistema respiratório
1,1,23,1,1,0.0,0,1,Amicacina,23,Shigella sonnei,1,201901,1° sem. de 2019,1,Geral
1,1,23,5,1,0.0,0,1,Amicacina,23,Shigella sonnei,1,201901,1° sem. de 2019,5,Sistema urinário
2,1,19,1,1,0.0,0,2,Amoxicilina/Ácido clavulânico,19,Pseudomonas putida,1,201901,1° sem. de 2019,1,Geral
2,1,19,5,1,0.0,0,2,Amoxicilina/Ácido clavulânico,19,Pseudomonas putida,1,201901,1° sem. de 2019,5,Sistema urinário
3,1,1,1,1,0.0,0,3,Ampicilina,1,Acinetobacter baumannii,1,201901,1° sem. de 2019,1,Geral
3,1,1,2,1,0.0,0,3,Ampicilina,1,Acinetobacter baumannii,1,201901,1° sem. de 2019,2,Tecido epitelial e partes moles
3,1,3,3,1,0.0,0,3,Ampicilina,3,Burkholderia cepacia,1,201901,1° sem. de 2019,3,Hemocultura
3,1,3,4,1,0.0,0,3,Ampicilina,3,Burkholderia cepacia,1,201901,1° sem. de 2019,4,Sistema respiratório
3,1,5,3,1,0.0,0,3,Ampicilina,5,Citrobacter koseri,1,201901,1° sem. de 2019,3,Hemocultura
3,1,5,5,1,0.0,0,3,Ampicilina,5,Citrobacter koseri,1,201901,1° sem. de 2019,5,Sistema urinário
3,1,6,2,1,0.0,0,3,Ampicilina,6,Enterobacter aerogenes,1,201901,1° sem. de 2019,2,Tecido epitelial e partes moles
3,1,24,3,1,0.0,0,3,Ampicilina,24,Enterococcus durans,1,201901,1° sem. de 2019,3,Hemocultura
3,1,10,1,1,0.0,0,3,Ampicilina,10,Klebsiella oxytoca,1,201901,1° sem. de 2019,1,Geral
3,1,10,4,1,0.0,0,3,Ampicilina,10,Klebsiella oxytoca,1,201901,1° sem. de 2019,4,Sistema respiratório
3,1,11,7,1,0.0,0,3,Ampicilina,11,Klebsiella pneumoniae ssp pneumoniae,1,201901,1° sem. de 2019,7,Cavidade abdominal
3,1,14,1,1,0.0,0,3,Ampicilina,14,Proteus penneri,1,201901,1° sem. de 2019,1,Geral
3,1,14,5,1,0.0,0,3,Ampicilina,14,Proteus penneri,1,201901,1° sem. de 2019,5,Sistema urinário
3,1,16,5,1,0.0,0,3,Ampicilina,16,Providencia stuartii,1,201901,1° sem. de 2019,5,Sistema urinário
3,1,19,1,1,0.0,0,3,Ampicilina,19,Pseudomonas putida,1,201901,1° sem. de 2019,1,Geral
3,1,19,5,1,0.0,0,3,Ampicilina,19,Pseudomonas putida,1,201901,1° sem. de 2019,5,Sistema urinário
3,1,20,3,1,0.0,0,3,Ampicilina,20,Raoultella planticola,1,201901,1° sem. de 2019,3,Hemocultura
3,1,20,4,1,0.0,0,3,Ampicilina,20,Raoultella planticola,1,201901,1° sem. de 2019,4,Sistema respiratório
3,1,21,4,1,0.0,0,3,Ampicilina,21,Serratia marcescens,1,201901,1° sem. de 2019,4,Sistema respiratório
3,1,22,1,1,0.0,0,3,Ampicilina,22,Serratia rubidaea,1,201901,1° sem. de 2019,1,Geral
3,1,22,3,1,0.0,0,3,Ampicilina,22,Serratia rubidaea,1,201901,1° sem. de 2019,3,Hemocultura
